RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player?s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Amir Coffey,Lac,G-F,23.58,8,4.6,9.6,16.1,0,3,0.667,6,0.333,6,0.333,0.417,0.45,1.5,0.3,3.2,0.4,11.3,0,0,0,4.9,109.4,117.5
,Seth Curry,Phi,G,30.4,8,30,62.5,17,12.3,17,1,36,0.611,42,0.595,0.763,0.796,17,2.3,4,3.6,17.8,0.75,0.38,1.5,6.9,142,108.1
,Ed Davis,Min,C-F,31.61,8,13.9,29,9.3,8.1,4,0.75,21,0.381,0,0,0.381,0.417,2.4,5.5,21,0.8,7,0.38,0.5,0.25,6.3,118.1,100.3
,Goran Dragic,Mia,G,34.7,8,23.5,48.9,26.6,19.1,23,0.87,46,0.609,37,0.378,0.59,0.634,14.8,2.3,5.3,5,35.3,0.63,0,2.75,9.4,114.2,105.2
,Dorian Finney-Smith,Dal,F,27.7,8,29.3,61.1,13.6,5.5,7,0.857,22,0.591,43,0.326,0.523,0.543,9.3,5,9.2,1,5,1.38,0.63,0.5,4.9,114.5,97.7
,Markelle Fultz,Orl,G,22.63,8,26.9,56,25.5,13.8,19,0.895,88,0.42,16,0.25,0.413,0.458,12.9,3.1,6,5.4,31.3,0.88,0.25,2.25,8.9,97.8,105
,Brandon Goodwin,Atl,G,25.29,8,14.8,30.9,17.7,5.9,6,0.667,21,0.429,24,0.333,0.467,0.483,5.8,1.5,5.1,2.3,22.4,0.5,0,0.38,7.3,111.9,107.9
,Josh Green,Dal,G,20,8,8.3,17.3,10.5,25.6,6,0.5,6,0.667,3,0,0.444,0.473,1.4,1.6,10.6,0.4,6.2,0,0,0.5,4.6,95.3,105.4
,Blake Griffin,Det,F,31.84,8,32.2,67,19.7,10.9,28,0.679,37,0.486,57,0.316,0.479,0.513,13.6,5.9,9.8,4.3,20.7,1,0.13,1.63,8.7,105.5,111.3
,R.J. Hampton,Den,G,20,8,2,4.2,16,16.7,0,0,4,0.75,1,0,0.6,0.6,0.8,0.3,7.2,0,0,0,0,0.13,0,,
,James Harden,Hou,G,31.39,8,36.3,75.5,29.2,16.9,60,0.883,64,0.547,72,0.347,0.533,0.61,24.8,5.1,7.7,10.4,46,0.88,0.75,4.13,12.1,119.7,110.6
,Andre Iguodala,Mia,G-F,36.97,9,19.2,39.9,12.3,20.4,0,0,11,0.273,28,0.393,0.5,0.5,4.3,3.1,9,2.7,18.7,0.56,0.33,1.11,6.9,101,105.4
,Stanley Johnson,Tor,F-G,24.63,9,14.2,29.5,10,23.4,2,0.5,10,0.5,12,0.333,0.5,0.503,2.6,3,11.4,1.4,13.6,1.11,0.22,0.78,6.2,104.2,102.1
,Thon Maker,Cle,F-C,23.89,8,9.6,19.9,14.7,11.6,11,0.909,16,0.625,2,0,0.556,0.657,3.8,2.3,12.8,0.5,8,0.25,0.5,0.38,6.8,132.2,100.7
,T.J. McConnell,Ind,G,28.81,9,17.5,36.5,11.7,30.3,2,0.5,27,0.593,2,0,0.552,0.552,3.7,3.1,9.9,4.8,34.2,1.67,0,1.44,8.7,113.8,99.1
,Alfonzo McKinnie,Lal,F,28.33,8,3.4,7,18.7,8.4,2,1,7,0.714,3,1,0.95,0.965,2.6,0.9,13.8,0,0,0,0,0.13,0,,
,David Nwaba,Hou,G-F,28,9,24,50,15,5.3,18,0.5,40,0.575,23,0.217,0.484,0.494,7.8,2.4,5.5,0.4,2.6,0.89,0.78,0.44,3.3,99.2,108.7
,Jordan Nwora,Mil,F,20,8,8.8,18.4,26.3,18,10,0.9,18,0.5,14,0.5,0.609,0.659,6,1.9,11.3,0,0,0.5,0.13,1,0,104.9,95.1
,Jahlil Okafor,Det,C-F,25.09,8,10.5,21.9,16.1,12.5,0,0,28,0.679,0,0,0.679,0.679,4.8,2.9,14.7,0.3,4.3,0.25,0.13,0.5,6.1,124.8,106.7
,Kelly Olynyk,Mia,F-C,29.74,9,29.6,61.7,17,13.4,8,0.625,25,0.68,62,0.371,0.592,0.597,12,5.8,10.8,2.6,12.7,1.11,0.78,1.56,7.6,110,103.6
,Immanuel Quickley,Nyk,G,20,8,16.7,34.8,22.4,10.2,19,0.947,29,0.345,24,0.292,0.387,0.481,7.4,1.5,4.7,1.9,16.9,0.63,0.25,0.88,6.6,101,103.3
,Josh Richardson,Dal,G,27.34,8,32.5,67.7,19.2,8.9,17,0.941,45,0.511,50,0.32,0.495,0.537,13.8,2.9,4.8,1.6,7.8,0.88,0.25,1.25,4.9,107.3,99.5
,Austin Rivers,Nyk,G,28.46,8,28.8,59.9,16.6,13.8,0,0,30,0.533,45,0.444,0.613,0.613,11.5,2.9,5.3,2.8,15,0.63,0,1.5,6.3,112.6,109.4
